Match Date,Team..1,Team..2,Winner,Margin,Ground
08-Jan-21,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi
18-Jan-21,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi
20-Jan-21,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur
21-Jan-21,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi
22-Jan-21,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur
24-Jan-21,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi
25-Jan-21,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram
26-Jan-21,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi
10-Mar-21,West Indies,Sri Lanka,West Indies,8 wickets,North Sound
12-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
14-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
20-Mar-21,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin
23-Mar-21,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch
23-Mar-21,India,England,India,66 runs,Pune
26-Mar-21,New Zealand,Bangladesh,New Zealand,164 runs,Wellington
26-Mar-21,India,England,England,6 wickets,Pune
28-Mar-21,India,England,India,7 runs,Pune
02-Apr-21,South Africa,Pakistan,Pakistan,3 wickets,Centurion
04-Apr-21,South Africa,Pakistan,South Africa,17 runs,Johannesburg
07-Apr-21,South Africa,Pakistan,Pakistan,28 runs,Centurion
19-May-21,Netherlands,Scotland,Netherlands,14 runs,Rotterdam
20-May-21,Netherlands,Scotland,Scotland,6 wickets,Rotterdam
23-May-21,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur
25-May-21,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur
28-May-21,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur
02-Jun-21,Netherlands,Ireland,Netherlands,1 run,Utrecht
04-Jun-21,Netherlands,Ireland,Ireland,8 wickets,Utrecht
